mixamorig:RightShoulder mixamorig:LeftShoulder
mixamorig:RightHandRing4 mixamorig:LeftHandRing4
mixamorig:RightUpLeg mixamorig:LeftUpLeg
mixamorig:RightHandThumb2 mixamorig:LeftHandThumb2
mixamorig:RightHand mixamorig:LeftHand
mixamorig:RightToeBase mixamorig:LeftToeBase
mixamorig:RightHandPinky4 mixamorig:LeftHandPinky4
mixamorig:RightHandIndex1 mixamorig:LeftHandIndex1
mixamorig:RightHandPinky2 mixamorig:LeftHandPinky2
mixamorig:RightHandMiddle2 mixamorig:LeftHandMiddle2
mixamorig:RightToe_End mixamorig:LeftToe_End
mixamorig:RightHandMiddle1 mixamorig:LeftHandMiddle1
mixamorig:RightHandMiddle4 mixamorig:LeftHandMiddle4
mixamorig:RightHandPinky1 mixamorig:LeftHandPinky1
mixamorig:RightHandThumb1 mixamorig:LeftHandThumb1
mixamorig:RightFoot mixamorig:LeftFoot
mixamorig:RightHandRing2 mixamorig:LeftHandRing2
mixamorig:RightHandIndex3 mixamorig:LeftHandIndex3
mixamorig:RightHandThumb4 mixamorig:LeftHandThumb4
mixamorig:RightHandPinky3 mixamorig:LeftHandPinky3
mixamorig:RightHandIndex4 mixamorig:LeftHandIndex4
mixamorig:RightArm mixamorig:LeftArm
mixamorig:RightForeArm mixamorig:LeftForeArm
mixamorig:RightHandMiddle3 mixamorig:LeftHandMiddle3
mixamorig:RightHandThumb3 mixamorig:LeftHandThumb3
mixamorig:RightLeg mixamorig:LeftLeg
mixamorig:RightHandRing3 mixamorig:LeftHandRing3
mixamorig:RightHandRing1 mixamorig:LeftHandRing1
mixamorig:RightEye mixamorig:LeftEye
mixamorig:RightHandIndex2 mixamorig:LeftHandIndex2
